Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Fiscal,2014,4,Community Health,DPH,Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2200,Medical & Dental,2218,Physician Assistant,19787,24336.6,0,728.88,25065.48,0,1926.56,1940.57,3867.13,28932.61
Fiscal,2013,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1630,Account Clerk,10687,44603.56,0,0,44603.56,8122.35,10487.92,3690.56,22300.83,66904.39
Calendar,2013,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1600,"Payroll, Billing & Accounting",1652,Accountant II,36845,72097.73,0,0,72097.73,14276.97,11734.07,5855.16,31866.2,103963.93
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,16287,64134.67,0,250,64384.67,12550.62,5636.72,5406.6,23593.94,87978.61
Calendar,2014,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2400,"Lab, Pharmacy & Med Techs",2450,Pharmacist,45572,145857.03,749.89,2290.73,148897.65,31274.54,13054.94,10123.5,54452.98,203350.63
Fiscal,2013,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,5554,10727.7,0,272.29,10999.99,0,5083.78,851.62,5935.4,16935.39
Fiscal,2013,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,7581,207.8,0,0,207.8,0,98.48,16.09,114.57,322.37
Calendar,2013,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,32552,11121.11,0,408.94,11530.05,0,5095.53,892.66,5988.19,17518.24
Fiscal,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q052,Sergeant 3,21838,138645.53,42631.22,14334.25,195611,30525.24,12512.53,477.11,43514.88,239125.88
Calendar,2013,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H003,EMT/Paramedic/Firefighter,9485,125192.74,6674.28,16602.74,148469.76,26907.42,14626.32,371.02,41904.76,190374.52
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,9890,34355.95,540.07,2783.39,37679.41,5935.65,9157.09,2843.73,17936.47,55615.88
Fiscal,2013,1,Public Protection,CRT,Superior Court,356,Municipal Executive Association - Court,SCRT,SF Superior Court,206C,Court Interpreter Supervisor,45541,94705.32,0,0,94705.32,16772.24,11178.8,11816.92,39767.96,134473.28
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2400,"Lab, Pharmacy & Med Techs",2467,Diagnostic Imaging Tech I,29631,82771.21,37146.64,7833.5,127751.35,17649.08,10560.83,9797.47,38007.38,165758.73
Fiscal,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,26114,118826.97,11822.94,11618.73,142268.64,25676.99,0,2418.56,28095.55,170364.19
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2302,Nursing Assistant,3594,68373.27,5225.49,10005.32,83604.08,16727.85,12299.34,6814.15,35841.34,119445.42
Calendar,2015,5,Culture & Recreation,LIB,Public Library,790,"SEIU - Miscellaneous, Local 1021",3600,Library,3630,Librarian 1,29083,61956.63,0,889.23,62845.86,13628.8,8171.5,5177.7,26978,89823.86
Fiscal,2013,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5290,Transit Planner 4,29173,118014.02,0,1150,119164.02,21104.02,12801.79,9444.67,43350.48,162514.5
Fiscal,2014,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,17207,65822.79,22817.38,4795.99,93436.16,20265.87,13362.11,7326.64,40954.62,134390.78
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5201,Junior Engineer,11661,89028.01,0,0,89028.01,18349.03,12424.48,6932.74,37706.25,126734.26
Calendar,2014,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,8960,118898.01,4705.05,9828.69,133431.75,25699.92,13054.94,274.8,39029.66,172461.41
Calendar,2013,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",2900,Human Services,2944,Protective Services Supervisor,12365,107082.12,1412.79,6360.26,114855.17,20924.62,12918.24,9373.41,43216.27,158071.44
Fiscal,2016,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",1900,Purchasing & Storekeeping,1929,Parts Storekeeper,46338,68228.8,16460.26,4581,89270.06,12814.38,13068.8,7274.89,33158.07,122428.13
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,402,Deputy Chief 3,27834,72324,0,91397.32,163721.32,15878.52,3345.06,4688.46,23912.04,187633.36
Fiscal,2016,1,Public Protection,ECD,Department of Emergency Management,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8239,Public Safetycomm Supv,26131,66378.75,36505.33,6125.47,109009.55,12914.28,8367.53,8674.79,29956.6,138966.15
Fiscal,2016,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,17079,882,0,0,882,0,448.92,68.45,517.37,1399.37
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2328,Nurse Practitioner,20576,158276.28,0,5588.07,163864.35,27123.24,10502.29,7268,44893.53,208757.88
Calendar,2014,2,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7345,Electrician,13145,94305.02,1492.43,2164.23,97961.68,20825.72,13054.94,7551.38,41432.04,139393.72
Calendar,2014,5,Culture & Recreation,WAR,War Memorial,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8207,Bldg & Grounds Patrol Officer,45475,20804.14,107.38,936.07,21847.59,0,5226.69,1691.44,6918.13,28765.72
Fiscal,2013,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,41032,59449.22,728.25,20242.08,80419.55,10860.16,6400.89,170.1,17431.15,97850.7
Fiscal,2013,3,Human Welfare & Neighborhood Development,DSS,Human Services,790,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1632,Senior Account Clerk,42362,10967,0,0,10967,1997.1,2708.07,871.42,5576.59,16543.59
Fiscal,2013,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2400,"Lab, Pharmacy & Med Techs",2468,Diagnostic Imaging Tech II,31546,110017.42,5024.65,21235.56,136277.63,22032.43,12781.97,9401.58,44215.98,180493.61
Calendar,2013,6,General Administration & Finance,ADM,General Services Agency - City Admin,130,"Automotive Machinists, Local 1414",7300,Journeyman Trade,7313,Automotive Machinist,13797,43414,2616.47,40.72,46071.19,7913.1,6698.35,3824.53,18435.98,64507.17
Calendar,2013,1,Public Protection,ECD,Department of Emergency Management,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8238,Public Safetycomm Disp,34637,87290,4832.91,12242.53,104365.44,18992.88,12858.44,8570.36,40421.68,144787.12
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,29625,42915.13,251.92,271.44,43438.49,9640.21,8668.97,3512.85,21822.03,65260.52
Fiscal,2014,3,Human Welfare & Neighborhood Development,DSS,Human Services,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1426,Senior Clerk Typist,33562,40872.3,0,433.89,41306.19,8806.46,8667.03,3367.7,20841.19,62147.38
Fiscal,2013,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q052,Sergeant 3,24364,51193.18,0,2658.37,53851.55,9120.02,4739.12,894.93,14754.07,68605.62
Calendar,2014,5,Culture & Recreation,REC,Recreation and Park Commission,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,24491,62558.65,350.55,290,63199.2,13742.49,13054.96,5112.34,31909.79,95108.99
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1900,Purchasing & Storekeeping,1932,Assistant Storekeeper,42501,48609.2,11967.37,7985.61,68562.18,11773.34,11182.06,5616.08,28571.48,97133.66
Fiscal,2014,5,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8226,Museum Guard,22910,20071.9,2491.92,0,22563.82,0,4842.02,1746.9,6588.92,29152.74
Calendar,2015,5,Culture & Recreation,WAR,War Memorial,16,"Theatrical and Stage Employees, Local 16",7300,Journeyman Trade,7377,Stage Electrician,28228,2482.9,0,0,2482.9,0,0,196.15,196.15,2679.05
Calendar,2013,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,12459,25322.25,11833.11,1737.9,38893.26,7768.82,5130.22,3058.07,15957.11,54850.37
Fiscal,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,29842,4226.5,0,0,4226.5,572.83,1891.84,327.22,2791.89,7018.39
Fiscal,2015,3,Human Welfare & Neighborhood Development,ENV,Environment,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5600,Energy & Environment,5642,Sr Environmental Spec,52291,90125.89,0,0,90125.89,20215.19,11105.62,7045.88,38366.69,128492.58
Calendar,2015,3,Human Welfare & Neighborhood Development,RNT,Rent Arbitration Board,790,"SEIU - Miscellaneous, Local 1021",2900,Human Services,2975,Citizens Complaint Officer,33225,18887.8,0,100,18987.8,3533.65,3488.42,1505.67,8527.74,27515.54
Calendar,2014,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,53753,13416.43,0,200.29,13616.72,0,3630.9,1054.2,4685.1,18301.82
Fiscal,2013,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,22230,91200.81,1217.6,4315.86,96734.27,18702.2,12801.79,1629.45,33133.44,129867.71
Calendar,2013,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,20855,6620.05,0,0,6620.05,1294.75,741.61,581.97,2618.33,9238.38
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q002,Police Officer,45118,82197.2,8107.97,6198.74,96503.91,16869.4,9079.44,1640.91,27589.75,124093.66
Calendar,2014,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,3093,119613.76,43674,22972.14,186259.9,25127.25,13054.94,2981.33,41163.52,227423.42
Fiscal,2014,2,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,261,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7514,General Laborer,43529,195.1,0,2.44,197.54,0,47.95,15.29,63.24,260.78
Fiscal,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,351,Municipal Executive Association - Miscellaneous,900,Management,933,Manager V,38696,157061.11,0,0,157061.11,34592.81,12500.56,18243.19,65336.56,222397.67
Fiscal,2015,4,Community Health,DPH,Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1824,Pr Administrative Analyst,22739,116860.81,0,0,116860.81,25639.24,12500.55,9276.94,47416.73,164277.54
Fiscal,2016,1,Public Protection,SHF,Sheriff,499,Sheriff's Managers and Supervisors Association,8300,Correction & Detention,8310,Sheriff's Lieutenant,22515,139889.2,14996.74,17925.1,172811.04,37301.21,13068.8,2919.86,53289.87,226100.91
Calendar,2013,6,General Administration & Finance,BOS,Board of Supervisors,22,"Prof & Tech Engineers - Personnel, Local 21",1800,"Budget, Admn & Stats Analysis",1835,Legislative Assistant,18365,98811,0,0,98811,19423.66,12918.24,7894.14,40236.04,139047.04
Calendar,2013,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,20884,103762.7,0,12356.61,116119.31,19135.14,11313.03,7737.68,38185.85,154305.16
Calendar,2013,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,9067,160.2,0,3.37,163.57,0,56.82,12.66,69.48,233.05
Fiscal,2013,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5100,Administrative-DPW/PUC,5177,Safety Officer,6717,122642.17,0,0,122642.17,21820.87,12801.79,9498.04,44120.7,166762.87
Fiscal,2015,1,Public Protection,JUV,Juvenile Probation,790,"SEIU - Miscellaneous, Local 1021",8300,Correction & Detention,8320,"Counselor, Juvenile Hall",36225,21720.7,171.9,0,21892.6,0,0,1729.53,1729.53,23622.13
Fiscal,2015,3,Human Welfare & Neighborhood Development,ENV,Environment,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9922,PS Aide To Prof,44447,40897.61,0,0,40897.61,10551.57,12500.56,3182.17,26234.3,67131.91
Fiscal,2016,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,46458,86524.2,38235.26,13318,138077.46,17971.03,13018.93,9554.51,40544.47,178621.93
Fiscal,2015,1,Public Protection,DAT,District Attorney,311,Municipal Attorneys' Association,8100,Legal & Court,8177,Attorney (Civil/Criminal),31184,29387.91,0,11342.92,40730.83,6516.26,2825.8,3257.26,12599.32,53330.15
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",1200,Personnel,1204,Senior Personnel Clerk,20454,45287.81,0,0,45287.81,11684.22,9914.24,3460.64,25059.1,70346.91
Calendar,2015,5,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8226,Museum Guard,26072,17954.94,1450.98,689.68,20095.6,4027.31,3557.24,1693.19,9277.74,29373.34
Calendar,2014,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H030,"Captain, Fire Suppression",44971,149655.25,2990.64,16700.8,169346.69,34670.14,15816.57,2723.78,53210.49,222557.18
Fiscal,2016,4,Community Health,DPH,Public Health,22,"Prof & Tech Engineers - Personnel, Local 21",1200,Personnel,1241,Personnel Analyst,7811,82190.2,0,0,82190.2,15295.63,13068.8,6756.64,35121.07,117311.27
Fiscal,2016,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5380,"Stdntdsgntrain1, Arch/Eng/Plng",48766,4765.6,0,0,4765.6,0,1147.27,369.89,1517.16,6282.76
Fiscal,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,261,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7501,Environmental Service Worker,26592,38878.21,2115.72,2772.45,43766.38,8867.48,11351.08,3494.79,23713.35,67479.73
